;K23_kasutuskolbmatud_tekstiilid;K23_kasutuskolbmatud_tekstiilid_1;K23_kasutuskolbmatud_tekstiilid_2;K23_kasutuskolbmatud_tekstiilid_3;K23_kasutuskolbmatud_tekstiilid_4;K23_kasutuskolbmatud_tekstiilid_5;K23_kasutuskolbmatud_tekstiilid_6;K23_kasutuskolbmatud_tekstiilid_7;K23_kasutuskolbmatud_tekstiilid_muu_tekst
116;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
117;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
118;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
119;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
120;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
121;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
122;Viin eraldi jäätmejaama, Olen viinud HMi kogumiskasti;0;0;1;0;0;0;1;Olen viinud HMi kogumiskasti
123;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
124;Mehele garaazi ja hiljem jäätmejaama. Kuni 2025 olmeprügisse;0;0;0;0;0;0;1;Mehele garaazi ja hiljem jäätmejaama. Kuni 2025 olmeprügisse
125;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
126;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
127;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
128;Rõivakonteineritesse;1;0;0;0;0;0;0;
129;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
130;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
131;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
132;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama, Põletan kodus;0;1;1;1;0;0;0;
